query_id,search_event_id,user_id,session_id,search_mode,merchant_id,merchant_name,impressed,clicked,booked,relevance_label,label_source
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,1,1,0,2,clicked
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,1,1,0,2,clicked
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJCQmWVNMvdTERNLWPf_PE3WE,An Khang Detailing - Xưởng chăm xe vui vẻ,1,0,0,1,impression_only
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJW4knxqEvdTERhuMXJ4-RYL8,"Tiệm rửa xe, sửa xe, bảo dưỡng xe 2 bánh - TN Detailing-Motorcycle wash",1,0,0,1,impression_only
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJh8yyigPYdDERalJPyL7NpNc,Tiệm Rửa Xe Thành,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJL3GiFugpdTER3DjuORNSeRI,Cứu Hộ Xe Máy - Sửa Xe Máy Tại Nhà 24h Minh Thành Motor,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ660DJwArdTERaswe-O5w_A4,Tiệm rửa xe ôtô xe máy,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJwyhdiEsqdTERh06rOjUU_B0,"Tiệm rửa xe, vá lốp ôtô & xe máy Số 1",0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJvxjCZQArdTERbx0gfTlKUB8,Tiệm Rửa Xe ÔTÔ & Xe Máy Dũng Hoàng,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ92uFsuYudTERvyQu9b8g8Ws,Rửa Xe Hiếu,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ9Vs22kovdTERow6znv_rO8k,Sửa - rửa xe HOÀNG THƯƠNG,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJLXbu5dIvdTER7g8ZL14rluM,Ánh Dương Detailing,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJh49VXwQvdTERteVbwQETYQM,Dịch Vụ Rửa Xe 109,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ35wD6AIvdTERcdM5ZxvwoYA,Dịch Vụ Rửa Xe A Thuận,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJv7ct6zMvdTERf-RfP3cNIyk,Rửa Xe 170,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ1YVX-igvdTERaJMz766nH6U,Tiệm Rửa Xe 39,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJy7RnTAAvdTERuHa74kwoWG0,"Bãi Giữ Xe, Rửa Xe Ôtô 635 Nguyễn Trãi",0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJMfw2TQAvdTER1SLfRI5lVQM,Rửa xe Ô tô - Xe máy 49 Thành Thái,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJzw1c3nMvdTERQ-_es7qw718,RỬA XE CẦU NÂNG-THAY NHỚT HƯNG PHÁT 24h/7-CHĂM SÓC XE AUTO CAR,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJBRwQhiEvdTER3nNM1IQr4AU,Rửa xe 100B,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJcUA7eZcvdTERegYfkM6PQMg,"Rửa xe, Thay nhớt Trí 48",0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJeUtNRwAvdTEReYPFG0EmXTA,Rửa xe oto xe máy SBS,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJaS06HOMpdTERYF3alhmcRWg,2N Detailing Car,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJZXS7KtkudTERR1DL-aT9xH8,Rửa xe Kỳ Hòa,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJB4-7VVcvdTERFGf8fzD2VKk,Rửa Xe Mai Tuấn,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJV2CDWUsvdTERoCmtcUrUmaE,AUTOLINK VN Car Care Center,0,0,0,0,not_shown_negative
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJN7tXj9ovdTERaHPUt88VtVs,Rửa xe Phong Phú,0,0,0,0,not_shown_negative
