query_id,search_event_id,user_id,session_id,search_mode,merchant_id,merchant_name,impressed,clicked,booked,relevance_label,label_source,query_source,require_open_now,min_rating,radius_km,max_corridor_km,has_destination,rank_position,final_rank_score,distance_km,route_distance_proxy,detour_proxy,was_impressed,click_event_count,was_clicked,booking_event_count,was_booked,district_norm,latitude,longitude,rating,review_count_source,is_open_now_proxy,is_valid_geo,rating_score,review_volume_score,trust_score,open_score,service_richness_score,unclaimed_penalty,base_rank_score,service_exterior_wash,service_interior_cleaning,service_detailing,service_ceramic,service_ev_safe,service_fast_lane,service_car_supported,service_motorbike_supported,route_query_flag,nearby_query_flag,reciprocal_rank,top_3_flag,top_5_flag,high_rating_flag,open_and_high_rating_flag,require_open_now_missing,require_open_now_filled,min_rating_missing,min_rating_filled,radius_km_missing,radius_km_filled,max_corridor_km_missing,max_corridor_km_filled,latitude_missing,latitude_filled,longitude_missing,longitude_filled,rating_missing,rating_filled,review_count_source_missing,review_count_source_filled,is_open_now_proxy_missing,is_open_now_proxy_filled,rating_score_missing,rating_score_filled,review_volume_score_missing,review_volume_score_filled,trust_score_missing,trust_score_filled,open_score_missing,open_score_filled,service_richness_score_missing,service_richness_score_filled,unclaimed_penalty_missing,unclaimed_penalty_filled,base_rank_score_missing,base_rank_score_filled,rank_position_missing,rank_position_filled,final_rank_score_missing,final_rank_score_filled,distance_km_missing,distance_km_filled,route_distance_proxy_missing,route_distance_proxy_filled,detour_proxy_missing,detour_proxy_filled,reciprocal_rank_missing,reciprocal_rank_filled
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJkaXsi8ovdTERV9vqRTJPqNQ,Storedetailing,1,1,0,2,clicked,synthetic_nearby_seeded,1.0,4.0,2.5,,0,1.0,0.669397,0.7702169038104405,,,True,1.0,True,0.0,False,tan phu,10.767417,106.6271295,4.2,110,1.0,1,0.84,0.683169,0.659109,1.0,0.25,0.0,0.664757,0,0,1,0,0,0,1,0,0,1,1.0,1,1,0,0,0,1.0,0,4.0,0,2.5,1,3.0,0,10.767417,0,106.6271295,0,4.2,0,110,0,1.0,0,0.84,0,0.683169,0,0.659109,0,1.0,0,0.25,0,0.0,0,0.664757,0,1.0,0,0.669397,0,0.7702169038104405,1,5.0,1,0.0,0,1.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,1,1,0,2,clicked,synthetic_nearby_seeded,1.0,4.0,2.5,,0,2.0,0.657623,1.217626212308896,,,True,1.0,True,0.0,False,tan binh,10.771098,106.6287872,4.7,115,1.0,1,0.94,0.68956,0.711346,1.0,0.5,0.0,0.748584,1,0,1,0,0,1,1,0,0,1,0.5,1,1,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.771098,0,106.6287872,0,4.7,0,115,0,1.0,0,0.94,0,0.68956,0,0.711346,0,1.0,0,0.5,0,0.0,0,0.748584,0,2.0,0,0.657623,0,1.217626212308896,1,5.0,1,0.0,0,0.5
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJCQmWVNMvdTERNLWPf_PE3WE,An Khang Detailing - Xưởng chăm xe vui vẻ,1,0,0,1,impression_only,synthetic_nearby_seeded,1.0,4.0,2.5,,0,3.0,0.482167,2.304096355657788,,,True,0.0,False,0.0,False,quan 11,10.7543336,106.644474,4.9,39,1.0,1,0.98,0.535112,0.677289,1.0,0.375,0.0,0.704536,1,0,1,0,0,0,1,0,0,1,0.3333333333333333,1,1,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.7543336,0,106.644474,0,4.9,0,39,0,1.0,0,0.98,0,0.535112,0,0.677289,0,1.0,0,0.375,0,0.0,0,0.704536,0,3.0,0,0.482167,0,2.304096355657788,1,5.0,1,0.0,0,0.3333333333333333
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJW4knxqEvdTERhuMXJ4-RYL8,"Tiệm rửa xe, sửa xe, bảo dưỡng xe 2 bánh - TN Detailing-Motorcycle wash",1,0,0,1,impression_only,synthetic_nearby_seeded,1.0,4.0,2.5,,0,4.0,0.463154,2.4934433410860506,,,True,0.0,False,0.0,False,quan 6,10.7402376,106.6331474,5.0,23,1.0,1,1.0,0.461011,0.661354,1.0,0.5,0.0,0.72066,1,0,1,0,0,0,1,1,0,1,0.25,0,1,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.7402376,0,106.6331474,0,5.0,0,23,0,1.0,0,1.0,0,0.461011,0,0.661354,0,1.0,0,0.5,0,0.0,0,0.72066,0,4.0,0,0.463154,0,2.4934433410860506,1,5.0,1,0.0,0,0.25
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJh8yyigPYdDERalJPyL7NpNc,Tiệm Rửa Xe Thành,0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,binh thanh,10.8816234,106.7289316,5.0,1,1.0,1,1.0,0.100549,0.535192,1.0,0.25,-0.05,0.545864,1,0,0,0,0,0,1,0,0,1,0.0,0,0,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.8816234,0,106.7289316,0,5.0,0,1,0,1.0,0,1.0,0,0.100549,0,0.535192,0,1.0,0,0.25,0,-0.05,0,0.545864,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJkYfDXsUndTEREk9eYE2TDi8,Rửa Xe Takashi,0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,thu duc,10.8671957,106.7291049,4.5,13,1.0,1,0.9,0.382824,0.583988,1.0,0.25,-0.05,0.571936,1,0,0,0,0,0,1,0,0,1,0.0,0,0,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.8671957,0,106.7291049,0,4.5,0,13,0,1.0,0,0.9,0,0.382824,0,0.583988,0,1.0,0,0.25,0,-0.05,0,0.571936,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJL3GiFugpdTER3DjuORNSeRI,Cứu Hộ Xe Máy - Sửa Xe Máy Tại Nhà 24h Minh Thành Motor,0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,phu nhuan,10.7938325,106.6687365,5.0,7,1.0,1,1.0,0.301646,0.605576,1.0,0.375,0.0,0.662592,0,0,0,0,0,1,1,1,0,1,0.0,0,0,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.7938325,0,106.6687365,0,5.0,0,7,0,1.0,0,1.0,0,0.301646,0,0.605576,0,1.0,0,0.375,0,0.0,0,0.662592,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJ660DJwArdTERaswe-O5w_A4,Tiệm rửa xe ôtô xe máy,0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,quan 12,10.8612901,106.6174842,5.0,1,1.0,1,1.0,0.100549,0.535192,1.0,0.375,-0.05,0.570864,1,0,0,0,0,0,1,1,0,1,0.0,0,0,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.8612901,0,106.6174842,0,5.0,0,1,0,1.0,0,1.0,0,0.100549,0,0.535192,0,1.0,0,0.375,0,-0.05,0,0.570864,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJwyhdiEsqdTERh06rOjUU_B0,"Tiệm rửa xe, vá lốp ôtô & xe máy Số 1",0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,hoc mon,10.8418112,106.5999244,4.5,13,1.0,1,0.9,0.382824,0.583988,1.0,0.375,0.0,0.646936,1,0,0,0,0,0,1,1,0,1,0.0,0,0,1,1,0,1.0,0,4.0,0,2.5,1,3.0,0,10.8418112,0,106.5999244,0,4.5,0,13,0,1.0,0,0.9,0,0.382824,0,0.583988,0,1.0,0,0.375,0,0.0,0,0.646936,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJU0GMXwApdTER0nAk4v8nxsw,"Rửa Xe 39 - Ôtô, Xe máy",0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,quan 12,10.8676226,106.6332059,5.0,1,,1,1.0,0.100549,0.535192,0.5,0.375,-0.05,0.470864,1,0,0,0,0,0,1,1,0,1,0.0,0,0,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,10.8676226,0,106.6332059,0,5.0,0,1,1,-1.0,0,1.0,0,0.100549,0,0.535192,0,0.5,0,0.375,0,-0.05,0,0.470864,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
nearby_q_001,search_evt_0001,user_001,session_001_01,nearby,ChIJvxjCZQArdTERbx0gfTlKUB8,Tiệm Rửa Xe ÔTÔ & Xe Máy Dũng Hoàng,0,0,0,0,not_shown_negative,synthetic_nearby_seeded,1.0,4.0,2.5,,0,,,,,,False,,False,,False,quan 12,10.845722,106.6179042,5.0,1,0.0,1,1.0,0.100549,0.535192,0.0,0.375,-0.05,0.370864,1,0,0,0,0,0,1,1,0,1,0.0,0,0,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,10.845722,0,106.6179042,0,5.0,0,1,0,0.0,0,1.0,0,0.100549,0,0.535192,0,0.0,0,0.375,0,-0.05,0,0.370864,1,999.0,1,0.0,1,6.25,1,5.0,1,0.0,0,0.0
