district,merchant_name,merchant_type,merchant_type_id,merchant_type_ids,merchant_types,address,phone,website,latitude,longitude,rating,review_count_source,price,open_state,hours,friday_hours,merchant_id,provider_id,data_id,data_cid,unclaimed_listing,service_options_on_site,normalized_merchant_name,normalized_address,is_duplicate_merchant_id,is_duplicate_name_address,is_duplicate_any
quan 1,Rửa Xe Thanh Bình,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"210 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh 74000, Việt Nam",,,10.7672983,106.6883697,3.4,104,,,,,ChIJLY0S9hcvdTERlVMjCPf-yog,/g/11j00s389c,0x31752f17f6128d2d:0x88cafef708235395,9856971071400661909,True,,rua xe thanh binh,210 nguyen trai phuong pham ngu lao quan 1 ho chi minh 74000 viet nam,False,False,False
quan 1,RỬA XE - BÁNH XÈO-BÁNH KHỌT -BỘT CHIÊN,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"216 Bis Cô Giang, P. Phú Thuận, Quận 1, Hồ Chí Minh, Việt Nam",+84 909 787 808,,10.7612135,106.6926105,1.5,4,,Đang mở cửa · Đóng cửa vào 18:00,Đang mở cửa · Đóng cửa vào 18:00,08:00–18:00,ChIJ8-9NJSkvdTERlVY0bucvCek,/g/11jlhj0hy0,0x31752f29254deff3:0xe9092fe76e345695,16792005356660479637,True,,rua xe banh xeo banh khot bot chien,216 bis co giang p phu thuan quan 1 ho chi minh viet nam,False,False,False
quan 1,Rửa xe bọt tuyết THU HƯƠNG,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"32 Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Việt Nam",+84 913 982 871,,10.7682258,106.6872649,2.7,15,,Đang mở cửa · Đóng cửa vào 18:30,Đang mở cửa · Đóng cửa vào 18:30,07:00–18:30,ChIJF__RpyIvdTERr0GDH_1gh1c,/g/11f3wt44y8,0x31752f22a7d1ff17:0x578760fd1f8341af,6307116443427357103,False,,rua xe bot tuyet thu huong,32 nam quoc cang phuong pham ngu lao quan 1 ho chi minh viet nam,False,False,False
quan 1,Dịch Vụ Rửa Xe Gia Phát,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"114 Bùi Thị Xuân, Quận 1, Hồ Chí Minh, Việt Nam",+84 794 798 879,,10.7705597,106.6890324,0.0,0,,,,,ChIJZRPiJj0vdTERwmg64T-CDAY,/g/11y6cgvcl,0x31752f3d26e21365:0x60c823fe13a68c2,435866474821347522,True,,dich vu rua xe gia phat,114 bui thi xuan quan 1 ho chi minh viet nam,False,False,False
quan 1,Rửa xe 24h CAR-E,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"11 Đ. Số 1, Bình Khánh, Quận 2, Hồ Chí Minh, Việt Nam",+84 986 658 659,https://caretuanhung.com/pages/dich-vu-rua-xe-o-to,10.7849511,106.730294,4.4,66,,Đang mở cửa · Đóng cửa vào 23:30,Đang mở cửa · Đóng cửa vào 23:30,05:30–23:30,ChIJ9721s2s7dTERy0AnDBTSPRQ,/g/11j8_2gpjd,0x31753b6bb3b5bdf7:0x143dd2140c2740cb,1458552837882986699,False,True,rua xe 24h car e,11 so 1 binh khanh quan 2 ho chi minh viet nam,False,False,False
quan 1,Dịch Vụ Rửa Xe Hưng Đạo,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"136 Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Việt Nam",,,10.7648984,106.6923791,0.0,0,,,,,ChIJy4ri9BYvdTERKp4-ZYuc_CA,/g/11xh3xx01,0x31752f16f4e28acb:0x20fc9c8b653e9e2a,2376946825857769002,True,,dich vu rua xe hung ao,136 tran hung ao phuong pham ngu lao quan 1 ho chi minh viet nam,False,False,False
quan 1,Tiệm rửa xe bình dân,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"119/7 Điện Biên Phủ, Đa Kao, Quận 1, Hồ Chí Minh, Việt Nam",,,10.792736,106.6990129,3.2,16,,Đang mở cửa,Đang mở cửa,,ChIJpwpSMJ8pdTERB-V-jQTgYcM,/g/11fnsl089q,0x3175299f30520aa7:0xc361e0048d7ee507,14078780220295275783,True,,tiem rua xe binh dan,119 7 ien bien phu a kao quan 1 ho chi minh viet nam,False,False,False
quan 1,Rửa xe oto - xe máy Quận 4,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"131 Nguyễn Khoái, Phường 1, Quận 4, Hồ Chí Minh 700000, Việt Nam",+84 932 997 887,,10.7554852,106.6928007,2.0,2,,Mở cả ngày,Mở cả ngày,Mở cửa cả ngày,ChIJo-loLQAvdTERL1h8n83gHMk,/g/11wqmyyg1p,0x31752f002d68e9a3:0xc91ce0cd9f7c582f,14491704874720057391,False,,rua xe oto xe may quan 4,131 nguyen khoai phuong 1 quan 4 ho chi minh 700000 viet nam,False,False,False
quan 1,Tổng Kho Thiết Bị Rửa Xe Hồ Chí Minh - Miền Nam,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"Tân Thới Nhất, Quận 12, Hồ Chí Minh 70000, Việt Nam",+84 983 690 096,https://tearu.vn/thiet-bi-rua-xe-o-to/,10.8274603,106.6094519,4.9,9,,Đang mở cửa · Đóng cửa vào 22:00,Đang mở cửa · Đóng cửa vào 22:00,07:30–22:00,ChIJ9xOW4RErdTERn0I4o_CR9J0,/g/11sx50mm66,0x31752b11e19613f7:0x9df491f0a338429f,11381882620988637855,False,,tong kho thiet bi rua xe ho chi minh mien nam,tan thoi nhat quan 12 ho chi minh 70000 viet nam,False,False,False
quan 1,Rửa Xe Bi,Bãi rửa xe ô tô,car_wash,car_wash,Bãi rửa xe ô tô,"3 Nguyễn Huy Lượng, Phường 14, Bình Thạnh, Hồ Chí Minh, Việt Nam",,,10.8057929,106.6972812,3.6,83,,Đang mở cửa · Đóng cửa vào 17:00,Đang mở cửa · Đóng cửa vào 17:00,08:00–17:00,ChIJocSD1MAodTERy3XameV2IcM,/g/11btrsdtmy,0x317528c0d483c4a1:0xc32176e599da75cb,14060650240128218571,True,,rua xe bi,3 nguyen huy luong phuong 14 binh thanh ho chi minh viet nam,False,False,False
