query_id,merchant_id,slot_id,search_event_id,user_id,session_id,merchant_name,slot_time,slot_end_time,slot_position_if_available,slot_event_count,slot_shown_count,slot_selected_count,slot_selected,slot_shown,query_source,search_timestamp,weekday,hour_of_day,is_weekend,require_open_now,min_rating,radius_km,max_corridor_km,has_destination,rating,review_count_source,is_open_now_proxy,rating_score,review_volume_score,trust_score,open_score,service_richness_score,base_rank_score,service_exterior_wash,service_interior_cleaning,service_detailing,service_ceramic,service_ev_safe,service_fast_lane,service_car_supported,service_motorbike_supported,merchant_rank_position,merchant_final_rank_score,distance_km,detour_proxy,route_distance_proxy,click_event_count,was_clicked_for_query,booking_event_count,was_booked_for_query,search_mode,slot_hour,slot_minute,slot_hour_bucket,lead_time_hours,slot_is_same_day,slot_is_next_day,slot_is_weekend,slot_is_business_hour,slot_is_evening,slot_is_morning,short_lead_time_flag,medium_lead_time_flag,long_lead_time_flag,high_trust_evening_flag,open_and_top_ranked_flag,nearby_query_flag,route_query_flag,require_open_now_missing,require_open_now_filled,min_rating_missing,min_rating_filled,radius_km_missing,radius_km_filled,max_corridor_km_missing,max_corridor_km_filled,rating_missing,rating_filled,review_count_source_missing,review_count_source_filled,is_open_now_proxy_missing,is_open_now_proxy_filled,rating_score_missing,rating_score_filled,review_volume_score_missing,review_volume_score_filled,trust_score_missing,trust_score_filled,open_score_missing,open_score_filled,service_richness_score_missing,service_richness_score_filled,base_rank_score_missing,base_rank_score_filled,slot_hour_missing,slot_hour_filled,slot_minute_missing,slot_minute_filled,lead_time_hours_missing,lead_time_hours_filled,slot_position_if_available_missing,slot_position_if_available_filled,merchant_rank_position_missing,merchant_rank_position_filled,merchant_final_rank_score_missing,merchant_final_rank_score_filled,distance_km_missing,distance_km_filled,detour_proxy_missing,detour_proxy_filled,route_distance_proxy_missing,route_distance_proxy_filled
nearby_q_001,ChIJR49LHcItdTERIiTJj8DLsa0,ChIJR49LHcItdTERIiTJj8DLsa0_slot_1,search_evt_0001,user_001,session_001_01,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,2026-03-23 09:00:00+00:00,2026-03-23 09:45:00+00:00,1,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.7,115,1.0,0.94,0.68956,0.711346,1.0,0.5,0.748584,1,0,1,0,0,1,1,0,2,0.657623,1.217626212308896,,,1,1,0,0,nearby,9,0,morning,24.0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.7,0,115,0,1.0,0,0.94,0,0.68956,0,0.711346,0,1.0,0,0.5,0,0.748584,0,9,0,0,0,24.0,0,1,0,2,0,0.657623,0,1.217626212308896,1,0.0,1,1.4971536153517306
nearby_q_001,ChIJR49LHcItdTERIiTJj8DLsa0,ChIJR49LHcItdTERIiTJj8DLsa0_slot_2,search_evt_0001,user_001,session_001_01,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,2026-03-23 11:00:00+00:00,2026-03-23 11:45:00+00:00,2,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.7,115,1.0,0.94,0.68956,0.711346,1.0,0.5,0.748584,1,0,1,0,0,1,1,0,2,0.657623,1.217626212308896,,,1,1,0,0,nearby,11,0,midday,26.0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.7,0,115,0,1.0,0,0.94,0,0.68956,0,0.711346,0,1.0,0,0.5,0,0.748584,0,11,0,0,0,26.0,0,2,0,2,0,0.657623,0,1.217626212308896,1,0.0,1,1.4971536153517306
nearby_q_001,ChIJR49LHcItdTERIiTJj8DLsa0,ChIJR49LHcItdTERIiTJj8DLsa0_slot_3,search_evt_0001,user_001,session_001_01,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,2026-03-23 14:00:00+00:00,2026-03-23 14:45:00+00:00,3,2,1,1,1,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.7,115,1.0,0.94,0.68956,0.711346,1.0,0.5,0.748584,1,0,1,0,0,1,1,0,2,0.657623,1.217626212308896,,,1,1,0,0,nearby,14,0,midday,29.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.7,0,115,0,1.0,0,0.94,0,0.68956,0,0.711346,0,1.0,0,0.5,0,0.748584,0,14,0,0,0,29.0,0,3,0,2,0,0.657623,0,1.217626212308896,1,0.0,1,1.4971536153517306
nearby_q_001,ChIJkaXsi8ovdTERV9vqRTJPqNQ,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_1,search_evt_0001,user_001,session_001_01,Storedetailing,2026-03-25 09:00:00+00:00,2026-03-25 09:45:00+00:00,1,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.2,110,1.0,0.84,0.683169,0.659109,1.0,0.25,0.664757,0,0,1,0,0,0,1,0,1,0.669397,0.7702169038104405,,,1,1,0,0,nearby,9,0,morning,72.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.2,0,110,0,1.0,0,0.84,0,0.683169,0,0.659109,0,1.0,0,0.25,0,0.664757,0,9,0,0,0,72.0,0,1,0,1,0,0.669397,0,0.7702169038104405,1,0.0,1,1.4971536153517306
nearby_q_001,ChIJkaXsi8ovdTERV9vqRTJPqNQ,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_2,search_evt_0001,user_001,session_001_01,Storedetailing,2026-03-25 11:00:00+00:00,2026-03-25 11:45:00+00:00,2,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.2,110,1.0,0.84,0.683169,0.659109,1.0,0.25,0.664757,0,0,1,0,0,0,1,0,1,0.669397,0.7702169038104405,,,1,1,0,0,nearby,11,0,midday,74.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.2,0,110,0,1.0,0,0.84,0,0.683169,0,0.659109,0,1.0,0,0.25,0,0.664757,0,11,0,0,0,74.0,0,2,0,1,0,0.669397,0,0.7702169038104405,1,0.0,1,1.4971536153517306
nearby_q_001,ChIJkaXsi8ovdTERV9vqRTJPqNQ,ChIJkaXsi8ovdTERV9vqRTJPqNQ_slot_3,search_evt_0001,user_001,session_001_01,Storedetailing,2026-03-25 14:00:00+00:00,2026-03-25 14:45:00+00:00,3,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:00:00+00:00,6,9,1,1.0,4.0,2.5,,0,4.2,110,1.0,0.84,0.683169,0.659109,1.0,0.25,0.664757,0,0,1,0,0,0,1,0,1,0.669397,0.7702169038104405,,,1,1,0,0,nearby,14,0,midday,77.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1.0,0,4.0,0,2.5,1,3.0,0,4.2,0,110,0,1.0,0,0.84,0,0.683169,0,0.659109,0,1.0,0,0.25,0,0.664757,0,14,0,0,0,77.0,0,3,0,1,0,0.669397,0,0.7702169038104405,1,0.0,1,1.4971536153517306
nearby_q_002,ChIJkYfDXsUndTEREk9eYE2TDi8,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_1,search_evt_0002,user_002,session_002_01,Rửa Xe Takashi,2026-03-25 09:00:00+00:00,2026-03-25 09:45:00+00:00,1,2,1,1,1,1,synthetic_nearby_seeded,2026-03-22 09:07:00+00:00,6,9,1,1.0,3.5,3.5,,0,4.5,13,1.0,0.9,0.382824,0.583988,1.0,0.25,0.571936,1,0,0,0,0,0,1,0,2,0.482292,2.193895039684231,,,1,1,0,0,nearby,9,0,morning,71.88333333333334,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1.0,0,3.5,0,3.5,1,3.0,0,4.5,0,13,0,1.0,0,0.9,0,0.382824,0,0.583988,0,1.0,0,0.25,0,0.571936,0,9,0,0,0,71.88333333333334,0,1,0,2,0,0.482292,0,2.193895039684231,1,0.0,1,1.4971536153517306
nearby_q_002,ChIJkYfDXsUndTEREk9eYE2TDi8,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_2,search_evt_0002,user_002,session_002_01,Rửa Xe Takashi,2026-03-25 11:00:00+00:00,2026-03-25 11:45:00+00:00,2,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:07:00+00:00,6,9,1,1.0,3.5,3.5,,0,4.5,13,1.0,0.9,0.382824,0.583988,1.0,0.25,0.571936,1,0,0,0,0,0,1,0,2,0.482292,2.193895039684231,,,1,1,0,0,nearby,11,0,midday,73.88333333333334,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1.0,0,3.5,0,3.5,1,3.0,0,4.5,0,13,0,1.0,0,0.9,0,0.382824,0,0.583988,0,1.0,0,0.25,0,0.571936,0,11,0,0,0,73.88333333333334,0,2,0,2,0,0.482292,0,2.193895039684231,1,0.0,1,1.4971536153517306
nearby_q_002,ChIJkYfDXsUndTEREk9eYE2TDi8,ChIJkYfDXsUndTEREk9eYE2TDi8_slot_3,search_evt_0002,user_002,session_002_01,Rửa Xe Takashi,2026-03-25 14:00:00+00:00,2026-03-25 14:45:00+00:00,3,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:07:00+00:00,6,9,1,1.0,3.5,3.5,,0,4.5,13,1.0,0.9,0.382824,0.583988,1.0,0.25,0.571936,1,0,0,0,0,0,1,0,2,0.482292,2.193895039684231,,,1,1,0,0,nearby,14,0,midday,76.88333333333334,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1.0,0,3.5,0,3.5,1,3.0,0,4.5,0,13,0,1.0,0,0.9,0,0.382824,0,0.583988,0,1.0,0,0.25,0,0.571936,0,14,0,0,0,76.88333333333334,0,3,0,2,0,0.482292,0,2.193895039684231,1,0.0,1,1.4971536153517306
nearby_q_004,ChIJU0GMXwApdTER0nAk4v8nxsw,ChIJU0GMXwApdTER0nAk4v8nxsw_slot_1,search_evt_0004,user_004,session_004_01,"Rửa Xe 39 - Ôtô, Xe máy",2026-03-24 09:00:00+00:00,2026-03-24 09:45:00+00:00,1,1,1,0,0,1,synthetic_nearby_seeded,2026-03-22 09:21:00+00:00,6,9,1,,3.0,4.0,,0,5.0,1,,1.0,0.100549,0.535192,0.5,0.375,0.470864,1,0,0,0,0,0,1,1,3,0.376669,3.1360635933749106,,,1,1,0,0,nearby,9,0,morning,47.65,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0.0,0,3.0,0,4.0,1,3.0,0,5.0,0,1,1,-1.0,0,1.0,0,0.100549,0,0.535192,0,0.5,0,0.375,0,0.470864,0,9,0,0,0,47.65,0,1,0,3,0,0.376669,0,3.1360635933749106,1,0.0,1,1.4971536153517306
